0,SansAnimation,Tired,,,,,,,
0,CombatZoneResizeInstant,-211,226,-46,391,,,,
0,SansHead,Closedeyes,,,,,,,
1,SansHead,Tired1,,,,,,,
0,SansText,this is your choice,,,,,,,
0,SansText,is this your choice?,,,,,,,
0,SansText,...,,,,,,,
0,SansText,lets go straight to the topic first,,,,,,,
0,SansHead,Default,,,,,,,
0,SansBody,HandRight,,,,,,,
0,CombatZoneSpeed,1000,,,,,,,
0,CombatZoneResize,239,226,404,391,,,,
0.5,Sound,Ding,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,SET,WDNMD,3,,,,,,
0,SUB,WDNMD,$WDNMD,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,31,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,33,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,35,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,37,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0.63,0.3
0,JMPNZ,16,$WDNMD,,,,,,
0,BoneV,130,231,155,0,450,1,,
0,BoneV,115,231,155,0,450,1,,
0,BoneV,100,231,155,0,450,1,,
0,BoneV,85,231,155,0,450,1,,
0,BoneV,70,231,155,0,450,1,,
1.6,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneV,130,231,155,0,300,2,,
0,BoneV,100,231,155,0,280,1,,
0,BoneV,70,231,155,0,260,2,,
0,BoneV,40,231,155,0,240,1,,
0,BoneV,10,231,155,0,220,2,,
0,BoneV,440,360,27,2,100,0,,
0,BoneVRepeat,-27,231,130,0,220,3,15,
1.8,BoneStab,0,140,0,0.7,,,,
0,GasterBlaster,1,250,0,250,150,90,0.6,1
0.6,BoneVRepeat,0,231,45,0,600,15,45,
0,BoneVRepeat,640,351,45,2,600,15,45,
0.6,BoneVRepeat,0,231,120,0,250,15,75,
0,BoneVRepeat,0,366,20,0,250,15,75,
0,BoneV,440,231,155,2,25,1,,
5.6,SansBody,HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0,BoneStab,2,18,0.5,0.3,,,,
2.35,EndAttack,,,,,,,,
