0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,321,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,SansText,yknow,,,,,,,
0,SansText,i always hate responsibility,,,,,,,
0,SansTorso,Shrug,,,,,,,
0,SansText,but what can anyone do,,,,,,,
0,SansText,maybe at corner of some timeline,,,,,,,
0,SansHead,Wink,,,,,,,
0,SansText,i also have to take this responsibility,,,,,,,
0,SansTorso,default,,,,,,,
0,SansHead,default,,,,,,,
0.4,BoneVRepeat,508,256,65,2,160,15,100,
0,BoneVRepeat,133,321,65,0,160,13,100,
0,SineBones,200,15,150,60,,,,
0.4,BoneVRepeat,508,256,130,2,444,5,1000,1
2,Gasterblaster,1,640,271,550,301,180,0.57,0.3
5,Gasterblaster,1,0,371,90,341,0,0.5,0.3
3,SansBody,HandLeft,,,,,,,
0.1,BoneStab,0,300,0,0.3,,,,
0.5,SansBody,HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0,CombatZoneResize,133,251,163,391,,,,
0.75,SansBody,Right,,,,,,,
0,SansSlam,0,,,,,,,
0.25,SansAnimations,Idle,,,,,,,
0.75,CombatZoneSpeed,50,,,,,,,
0,CombatZoneResize,473,251,508,391,,,,
2.5,Sound,DIng,,,,,,,
0,CombatZoneSpeed,150,,,,,,,
1.5,CombatZoneSpeed,480,,,,,,,
0,CombatZoneResize,433,251,508,391,,,,
0.35,BoneHRepeat,438,239,65,1,200,5,12,2
0,BoneHRepeat,438,391,65,3,200,5,12,2
1,CombatZoneSpeed,1000,,,,,,,
0,CombatZoneResize,133,251,508,391,,,,
0.35,EndAttack,,,,,,,,
