0,CombatZoneResize,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,1,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,im thinking most of the time,,,,,,,
0,SansText,is there any value of all things we did,,,,,,,
0,SansHead,tired1,,,,,,,
0,SansText,constantly thinking of the bright,,,,,,,
0,SansText,but it drags us into a new sorrow,,,,,,,
0,SansHead,default,,,,,,,
0.5,BoneV,410,370,15,2,233,,,
0,BoneV,425,360,25,2,233,,,
0,BoneV,440,350,35,2,233,,,
0,BoneV,455,340,45,2,233,,,
0,BoneV,470,330,55,2,233,,,
0,BoneV,485,330,55,2,233,,,
0,BoneV,500,340,45,2,233,,,
0,BoneV,515,350,35,2,233,,,
0,BoneV,530,360,25,2,233,,,
0,BoneV,545,370,15,2,233,,,
0.8,BoneV,410,370,15,2,333,,,
0,BoneV,425,360,25,2,333,,,
0,BoneV,440,350,35,2,333,,,
0,BoneV,455,340,45,2,333,,,
0,BoneV,470,330,55,2,333,,,
0,BoneV,485,330,55,2,333,,,
0,BoneV,500,340,45,2,333,,,
0,BoneV,515,350,35,2,333,,,
0,BoneV,530,360,25,2,333,,,
0,BoneV,545,370,15,2,333,,,
0.8,BoneV,410,370,15,2,444,,,
0,BoneV,425,360,25,2,444,,,
0,BoneV,440,350,35,2,444,,,
0,BoneV,455,340,45,2,444,,,
0,BoneV,470,330,55,2,444,,,
0,BoneV,485,330,55,2,444,,,
0,BoneV,500,340,45,2,444,,,
0,BoneV,515,350,35,2,444,,,
0,BoneV,530,360,25,2,444,,,
0,BoneV,545,370,15,2,444,,,
1,SansBody,HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0,Gasterblaster,1,-361,-347,189,176,45,0.3,0.5
0,Gasterblaster,1,1004,-347,454,176,135,0.3,0.5
0,Gasterblaster,1,-361,991,189,441,315,0.3,0.5
0,Gasterblaster,1,1004,991,454,441,225,0.3,0.5
0.2,BoneStab,2,15,0,0.15,,,,
0.1,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,Gasterblaster,1,189,176,189,308,0,0,0.2
0,Gasterblaster,1,454,176,321,176,90,0,0.2
0,Gasterblaster,1,189,441,321,441,270,0,0.2
0,Gasterblaster,1,454,441,454,308,180,0,0.2
0.2,BoneStab,1,30,0,0.3,,,,
0,BoneStab,3,30,0,0.3,,,,
0,BoneStab,2,30,0,0.3,,,,
0.7,SET,Loop,1,,,,,,
0,:RndAttack,,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,4,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,JMPABS,Attack3,,,,,,,
0,:Attack0,,,,,,,,
0,SansBody,HandRight,,,,,,,
0,SansSlam,0,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack2,,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
0,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:End,,,,,,,,
0.6,BoneStab,0,65,0,0.2333,,,,
0,BoneStab,1,65,0,0.2333,,,,
0,BoneStab,2,65,0,0.2333,,,,
0,BoneStab,3,65,0,0.2333,,,,
0.3,HeartMode,1,,,,,,,
0,CombatZoneSpeed,50,,,,,,,
0,CombatZoneResize,191,251,456,391,,,,
0.3,SansAnimation,Idle,,,,,,,
0.2,BoneV,128,366,20,0,700,1,,
0,BoneV,503,366,20,2,700,1,,
0.3,BoneVRepeat,128,257,110,0,700,7,15,
0,BoneVRepeat,503,257,110,2,700,7,15,
0.2,BoneV,128,296,90,0,1000,2,,
0,BoneV,503,296,90,2,1000,2,,
0.3,BoneV,128,296,90,0,1000,1,,
0,BoneV,503,296,90,2,1000,1,,
0.2,BoneV,128,366,20,0,900,,,
0,BoneV,503,366,20,2,900,,,
0.15,BoneV,128,356,30,0,900,,,
0,BoneV,503,356,30,2,900,,,
0.15,BoneV,128,346,40,0,900,,,
0,BoneV,503,346,40,2,900,,,
0.15,BoneV,128,336,50,0,900,,,
0,BoneV,503,336,50,2,900,,,
0.7,GetHeartPos,HeartX,HeartY,,,,,,
0,ANGLE,c,320,100,$HeartX,$HeartY,,,
0,GasterBlaster,3,0,0,320,100,$c,0,0.1
0,BoneStab,0,55,0,0.5,,,,
0,BoneStab,2,55,0,0.5,,,,
0.1,BoneVRepeat,128,257,130,0,1000,3,12,1
0,BoneVRepeat,503,257,130,2,1000,3,12,1
0,CombatZoneSpeed,480,,,,,,,
1.1,EndAttack,,,,,,,,
