0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,i know,,,,,,,
0,SansText,youve always been kind along the way,,,,,,,
0,SansHead,your standpoint is clear at a glance,,,,,,,
0,SansHead,noeyes,,,,,,,
0,SansText,and your arrival will turn whole monster kingdom toward peace,,,,,,,
0,PlatformRepeat,640,346,51,2,150,2,200,
0.4,BoneVRepeat,508,356,40,2,120,120,15,
0.4,BoneV,508,256,30,2,150,,,
0,BoneV,508,316,70,2,150,,,
0.4,BoneV,508,256,70,2,150,,,
0.2,BoneV,508,316,70,2,150,,,
0.05,Platform,505,346,20,2,150,,,
0.1,BoneV,508,256,70,2,150,,,
0.2,BoneV,508,316,70,2,150,,,
0,Platform,505,315,10,2,150,,,
0.2,BoneV,508,256,30,2,150,,,
0,BoneV,508,296,90,2,150,,,
0.35,BoneVRepeat,508,256,70,2,150,5,10,
1,PlatformRepeat,640,346,65,2,250,11,150,
0.5,SET,Loop,2,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0.75,RND,UL,40,,,,,,
0,ADD,UL,$UL,30,,,,,
0,ADD,DY,$UL,266,,,,,
0,ADD,DL,120,$UL,,,,,
0,BoneV,508,256,$UL,2,250,,,
0,BoneV,508,$DY,$DL,2,250,,,
0,JMPNZ,26,$Loop,,,,,,
0,SansBody,HandRight,,,,,,,
0,BoneStab,2,200,0,3,,,,
0,SET,Loop,4,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0.75,RND,UL,40,,,,,,
0,ADD,UL,$UL,30,,,,,
0,ADD,DY,$UL,266,,,,,
0,ADD,DL,120,$UL,,,,,
0,BoneV,508,256,$UL,2,250,,,
0,BoneV,508,$DY,$DL,2,250,,,
0,JMPNZ,37,$Loop,,,,,,
0,PlatformRepeat,640,346,65,2,100,4,150,
0,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
,,,,,,,,,
0.3,BoneStab,2,75,0.3,10,,,,
0,BoneStab,0,75,0.3,10,,,,
0,SET,Loop,2,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0.75,RND,UL,40,,,,,,
0,ADD,UL,$UL,30,,,,,
0,ADD,DY,$UL,266,,,,,
0,ADD,DL,120,$UL,,,,,
0,BoneV,508,256,$UL,2,150,,,
0,BoneV,508,$DY,$DL,2,150,,,
0.75,RND,UL,40,,,,,,
0,ADD,UL,$UL,30,,,,,
0,ADD,DY,$UL,266,,,,,
0,ADD,DL,120,$UL,,,,,
0,BoneV,508,256,$UL,2,150,,,
0,BoneV,508,$DY,$DL,2,150,,,
0,SansBody,HAnddown,,,,,,,
0,SansSlam,1,,,,,,,
0.75,RND,UL,40,,,,,,
0,ADD,UL,$UL,30,,,,,
0,ADD,DY,$UL,266,,,,,
0,ADD,DL,120,$UL,,,,,
0,BoneV,508,256,$UL,2,150,,,
0,BoneV,508,$DY,$DL,2,150,,,
0.75,RND,UL,40,,,,,,
0,ADD,UL,$UL,30,,,,,
0,ADD,DY,$UL,266,,,,,
0,ADD,DL,120,$UL,,,,,
0,BoneV,508,256,$UL,2,150,,,
0,BoneV,508,$DY,$DL,2,150,,,
0,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,JMPNZ,52,$Loop,,,,,,
0.45,Gasterblaster,1,640,271,550,271,180,0.5,0.5
0,Gasterblaster,1,640,371,550,371,180,0.5,0.5
0.4,DelGB,,,,,,,,
0,Gasterblaster,1,550,271,620,321,180,0.5,0.5
0,Gasterblaster,1,550,371,620,321,180,0.5,0.5
0.25,DelGB,,,,,,,,
0,Gasterblaster,1,620,321,550,271,180,0,0.3
0,Gasterblaster,1,620,321,550,371,180,0,0.3
0.9,EndAttack,,,,,,,,
,,133,251,508,391,,,,
